student_id,dues,last_payment_date,payment_status
ST1000,547.25,2023-12-05,on-time
ST1001,178.26,2024-02-26,on-time
ST1002,106.24,2023-10-28,on-time
ST1003,45.99,2024-01-26,on-time
ST1004,192.83,2023-10-17,on-time
ST1005,355.05,2023-10-09,on-time
ST1006,57.02,2023-10-18,on-time
ST1007,8.77,2023-09-20,on-time
ST1008,274.16,2023-12-28,on-time
ST1009,454.93,2024-01-07,on-time
ST1010,73.96,2024-02-15,on-time
ST1011,218.8,2023-12-07,on-time
ST1012,6.28,2023-11-23,on-time
ST1013,330.64,2024-01-27,on-time
ST1014,107.79,2024-02-25,late
ST1015,449.2,2024-02-04,late
ST1016,66.6,2023-10-06,on-time
ST1017,273.88,2024-01-29,on-time
ST1018,123.66,2023-11-21,on-time
ST1019,9.06,2023-08-29,on-time
ST1020,124.69,2023-12-29,on-time
ST1021,168.0,2023-10-13,on-time
ST1022,5.19,2023-11-29,late
ST1023,12.57,2023-10-23,on-time
ST1024,369.72,2023-11-20,on-time
ST1025,112.83,2023-12-09,late
ST1026,134.16,2024-01-10,late
ST1027,79.13,2023-12-29,late
ST1028,61.49,2023-12-20,late
ST1029,17.77,2023-09-20,on-time
ST1030,103.82,2024-01-11,late
ST1031,206.92,2023-12-15,on-time
ST1032,293.21,2023-08-23,on-time
ST1033,469.84,2023-11-25,on-time
ST1034,503.57,2023-10-04,on-time
ST1035,213.96,2023-09-07,late
ST1036,461.24,2023-09-19,on-time
ST1037,35.07,2023-09-21,on-time
ST1038,15.74,2024-01-25,on-time
ST1039,216.82,2023-09-24,on-time
ST1040,22.63,2024-01-01,on-time
ST1041,112.12,2023-10-16,on-time
ST1042,251.67,2024-01-15,on-time
ST1043,826.69,2023-10-01,on-time
ST1044,10.05,2023-11-28,on-time
ST1045,476.79,2024-01-16,on-time
ST1046,225.73,2023-11-30,on-time
ST1047,56.07,2023-12-02,late
ST1048,539.66,2023-12-02,on-time
ST1049,16.08,2024-01-31,on-time
ST1050,199.42,2023-10-16,on-time
ST1051,137.27,2024-02-27,on-time
ST1052,91.75,2023-10-11,on-time
ST1053,282.18,2023-10-25,on-time
ST1054,15.68,2024-03-01,on-time
ST1055,140.05,2023-08-29,on-time
ST1056,46.79,2023-10-21,on-time
ST1057,33.61,2024-02-18,on-time
ST1058,181.65,2023-09-12,on-time
ST1059,211.8,2023-09-21,on-time
ST1060,177.16,2024-02-13,on-time
ST1061,61.95,2024-01-30,on-time
ST1062,206.27,2023-11-22,late
ST1063,361.45,2023-10-11,late
ST1064,12.25,2023-09-07,on-time
ST1065,21.68,2023-12-27,late
ST1066,1458.82,2023-09-10,on-time
ST1067,53.86,2023-12-01,on-time
ST1068,45.82,2024-02-25,on-time
ST1069,54.45,2023-10-02,on-time
ST1070,127.09,2024-02-01,on-time
ST1071,90.15,2023-08-28,on-time
ST1072,539.18,2023-11-23,on-time
ST1073,190.94,2023-09-18,on-time
ST1074,4.03,2024-02-20,on-time
ST1075,549.28,2024-02-02,on-time
ST1076,317.24,2023-09-07,on-time
ST1077,50.92,2023-11-10,on-time
ST1078,103.33,2023-10-01,on-time
ST1079,164.76,2023-09-23,on-time
ST1080,250.97,2023-12-06,on-time
ST1081,360.02,2023-10-22,on-time
ST1082,44.16,2023-11-15,late
ST1083,130.94,2023-08-21,on-time
ST1084,78.09,2023-11-28,late
ST1085,59.18,2023-11-20,on-time
ST1086,240.72,2024-01-24,on-time
ST1087,71.99,2024-02-05,on-time
ST1088,10.38,2023-11-26,on-time
ST1089,431.17,2023-10-17,on-time
ST1090,50.32,2024-02-05,on-time
ST1091,106.83,2023-10-26,on-time
ST1092,131.34,2023-10-26,on-time
ST1093,235.23,2023-09-19,late
ST1094,154.0,2023-11-16,late
ST1095,75.09,2024-01-27,on-time
ST1096,25.77,2023-09-28,on-time
ST1097,49.0,2023-08-21,on-time
ST1098,314.48,2023-08-25,on-time
ST1099,4.13,2024-01-29,on-time
ST1100,89.84,2023-11-20,on-time
ST1101,196.98,2023-12-13,on-time
ST1102,14.55,2023-11-16,on-time
ST1103,102.69,2023-10-17,on-time
ST1104,393.35,2023-10-04,on-time
ST1105,34.21,2023-11-04,on-time
ST1106,127.22,2023-09-23,on-time
ST1107,355.51,2023-10-20,late
ST1108,220.64,2024-01-01,on-time
ST1109,141.95,2023-12-08,on-time
ST1110,56.06,2023-11-28,on-time
ST1111,186.23,2023-12-24,late
ST1112,227.16,2023-11-02,on-time
ST1113,2.54,2024-02-27,on-time
ST1114,87.85,2023-09-10,on-time
ST1115,50.86,2024-01-24,on-time
ST1116,625.14,2023-11-03,on-time
ST1117,191.41,2023-09-05,late
ST1118,161.64,2023-10-02,on-time
ST1119,75.41,2023-10-13,on-time
ST1120,168.15,2023-10-19,on-time
ST1121,106.96,2024-02-16,on-time
ST1122,35.69,2023-09-04,late
ST1123,415.93,2023-10-07,late
ST1124,66.96,2024-02-12,late
ST1125,104.85,2023-11-05,on-time
ST1126,225.17,2023-10-25,late
ST1127,120.68,2024-02-08,on-time
ST1128,406.23,2023-11-25,on-time
ST1129,896.75,2024-02-08,on-time
ST1130,1.48,2023-11-03,on-time
ST1131,63.47,2023-09-23,on-time
ST1132,20.7,2023-12-19,late
ST1133,301.45,2023-08-27,on-time
ST1134,229.27,2024-01-12,late
ST1135,107.24,2023-10-30,on-time
ST1136,115.86,2023-09-13,on-time
ST1137,20.47,2024-01-25,on-time
ST1138,5.57,2023-11-06,on-time
ST1139,9.53,2024-02-21,on-time
ST1140,5.59,2024-02-09,on-time
ST1141,170.89,2024-01-31,on-time
ST1142,75.65,2023-09-05,on-time
ST1143,397.87,2024-02-22,on-time
ST1144,167.01,2023-12-03,on-time
ST1145,18.16,2024-01-10,on-time
ST1146,357.35,2023-09-23,on-time
ST1147,263.93,2023-11-24,on-time
ST1148,188.71,2023-12-01,on-time
ST1149,214.24,2023-12-25,on-time
ST1150,136.34,2023-10-28,on-time
ST1151,514.0,2023-09-29,on-time
ST1152,267.76,2023-09-08,on-time
ST1153,257.54,2023-11-18,on-time
ST1154,0.0,2023-10-03,on-time
ST1155,496.8,2023-10-17,on-time
ST1156,8.07,2023-09-28,late
ST1157,88.84,2023-09-30,on-time
ST1158,230.82,2023-11-18,on-time
ST1159,364.46,2023-11-28,on-time
ST1160,387.53,2023-11-01,late
ST1161,921.16,2024-01-16,on-time
ST1162,25.63,2024-02-25,late
ST1163,116.24,2023-11-25,on-time
ST1164,127.32,2023-11-13,on-time
ST1165,853.06,2024-02-07,on-time
ST1166,28.27,2023-10-09,on-time
ST1167,258.79,2023-11-30,on-time
ST1168,101.05,2024-02-23,on-time
ST1169,198.11,2023-09-22,on-time
ST1170,120.78,2024-01-21,late
ST1171,153.78,2024-01-03,on-time
ST1172,59.04,2023-12-10,on-time
ST1173,218.76,2023-10-01,on-time
ST1174,146.56,2024-01-05,on-time
ST1175,271.06,2023-10-29,on-time
ST1176,113.41,2023-11-26,on-time
ST1177,24.35,2023-10-25,on-time
ST1178,499.8,2024-02-16,late
ST1179,115.62,2024-01-13,on-time
ST1180,71.23,2023-10-15,on-time
ST1181,307.96,2023-12-13,on-time
ST1182,102.39,2023-11-05,on-time
ST1183,578.42,2023-09-03,on-time
ST1184,275.56,2024-02-03,on-time
ST1185,107.43,2024-01-01,on-time
ST1186,164.58,2023-10-15,on-time
ST1187,571.83,2024-02-17,on-time
ST1188,321.76,2023-10-21,late
ST1189,176.99,2023-10-10,late
ST1190,276.1,2023-09-10,on-time
ST1191,76.12,2023-12-20,on-time
ST1192,191.67,2023-12-23,on-time
ST1193,314.59,2024-02-26,on-time
ST1194,472.74,2023-09-20,on-time
ST1195,464.02,2024-02-26,on-time
ST1196,158.97,2023-12-20,on-time
ST1197,258.23,2023-09-02,on-time
ST1198,753.5,2023-10-06,on-time
ST1199,349.65,2023-10-07,on-time
ST1200,307.54,2023-11-08,on-time
ST1201,295.53,2024-01-11,on-time
ST1202,317.12,2023-10-14,on-time
ST1203,544.02,2023-08-24,on-time
